Open,High,Low,PER,PBV,ROE,Close
1285.0,1345.0,1190.0,36.99,0.6,0.07,2876.7710095643997
1285.0,1345.0,1190.0,36.99,0.6,0.07,2925.482650101185
1285.0,1345.0,1190.0,36.99,0.6,0.07,2922.4534863233566
1285.0,1345.0,1190.0,36.99,0.6,0.07,2961.383530497551
1285.0,1345.0,1190.0,36.99,0.6,0.07,3016.7822581529617
1285.0,1345.0,1190.0,36.99,0.6,0.07,3011.6194581985474
1285.0,1345.0,1190.0,36.99,0.6,0.07,2949.761488735676
1285.0,1345.0,1190.0,36.99,0.6,0.07,2899.716719388962
1285.0,1345.0,1190.0,36.99,0.6,0.07,2851.1484730243683
1285.0,1345.0,1190.0,36.99,0.6,0.07,2836.0537719726562
1285.0,1345.0,1190.0,36.99,0.6,0.07,2857.647552192211
1285.0,1345.0,1190.0,36.99,0.6,0.07,2948.20234388113
1285.0,1345.0,1190.0,36.99,0.6,0.07,2970.434944629669
1285.0,1345.0,1190.0,36.99,0.6,0.07,2924.7177118062973
1285.0,1345.0,1190.0,36.99,0.6,0.07,2878.4496665000916
1285.0,1345.0,1190.0,36.99,0.6,0.07,2887.916222512722
1285.0,1345.0,1190.0,36.99,0.6,0.07,2867.441953420639
1285.0,1345.0,1190.0,36.99,0.6,0.07,2838.5312086343765
1285.0,1345.0,1190.0,36.99,0.6,0.07,2839.5649474859238
1285.0,1345.0,1190.0,36.99,0.6,0.07,2832.0956456661224
1285.0,1345.0,1190.0,36.99,0.6,0.07,2833.932026028633
1285.0,1345.0,1190.0,36.99,0.6,0.07,2830.2149564027786
1285.0,1345.0,1190.0,36.99,0.6,0.07,2866.264210641384
1285.0,1345.0,1190.0,36.99,0.6,0.07,2916.644142270088
1285.0,1345.0,1190.0,36.99,0.6,0.07,2975.8410370349884
1285.0,1345.0,1190.0,36.99,0.6,0.07,3080.072238445282
1285.0,1345.0,1190.0,36.99,0.6,0.07,3108.0004638433456
1285.0,1345.0,1190.0,36.99,0.6,0.07,3105.5344092845917
1285.0,1345.0,1190.0,36.99,0.6,0.07,3091.920601129532
1285.0,1345.0,1190.0,36.99,0.6,0.07,3153.6758267879486
1285.0,1345.0,1190.0,36.99,0.6,0.07,3203.1709015369415
1285.0,1345.0,1190.0,36.99,0.6,0.07,3231.1588829755783
1285.0,1345.0,1190.0,36.99,0.6,0.07,3197.1007853746414
1285.0,1345.0,1190.0,36.99,0.6,0.07,3177.1260076761246
1285.0,1345.0,1190.0,36.99,0.6,0.07,3164.5327270030975
1285.0,1345.0,1190.0,36.99,0.6,0.07,3169.3026411533356
1285.0,1345.0,1190.0,36.99,0.6,0.07,3231.7359149456024
1285.0,1345.0,1190.0,36.99,0.6,0.07,3237.282657623291
1285.0,1345.0,1190.0,36.99,0.6,0.07,3267.9375064373016
1285.0,1345.0,1190.0,36.99,0.6,0.07,3310.7724249362946
1285.0,1345.0,1190.0,36.99,0.6,0.07,3400.17091691494
1285.0,1345.0,1190.0,36.99,0.6,0.07,3373.000007867813
1285.0,1345.0,1190.0,36.99,0.6,0.07,3400.5764043331146
1285.0,1345.0,1190.0,36.99,0.6,0.07,3372.421146631241
1285.0,1345.0,1190.0,36.99,0.6,0.07,3341.3191437721252
1285.0,1345.0,1190.0,36.99,0.6,0.07,3411.1999714374547
1285.0,1345.0,1190.0,36.99,0.6,0.07,3523.35758805275
1285.0,1345.0,1190.0,36.99,0.6,0.07,3576.5156674385075
1285.0,1345.0,1190.0,36.99,0.6,0.07,3572.7063214778905
1285.0,1345.0,1190.0,36.99,0.6,0.07,3578.1067228317265
1285.0,1345.0,1190.0,36.99,0.6,0.07,3546.291712522507
1285.0,1345.0,1190.0,36.99,0.6,0.07,3510.7905268669133
1285.0,1345.0,1190.0,36.99,0.6,0.07,3553.6002421379094
1285.0,1345.0,1190.0,36.99,0.6,0.07,3610.7428705692296
1285.0,1345.0,1190.0,36.99,0.6,0.07,3658.9351010322575
1285.0,1345.0,1190.0,36.99,0.6,0.07,3645.8420240879063
1285.0,1345.0,1190.0,36.99,0.6,0.07,3675.3751260042195
1285.0,1345.0,1190.0,36.99,0.6,0.07,3692.056614160538
1285.0,1345.0,1190.0,36.99,0.6,0.07,3717.660248279572
1285.0,1345.0,1190.0,36.99,0.6,0.07,3732.9476320743565
1285.0,1345.0,1190.0,36.99,0.6,0.07,3724.271420836449
1285.0,1345.0,1190.0,36.99,0.6,0.07,3741.1777055263524
1285.0,1345.0,1190.0,36.99,0.6,0.07,3809.7711360454564
1285.0,1345.0,1190.0,36.99,0.6,0.07,3858.405642509461
1285.0,1345.0,1190.0,36.99,0.6,0.07,3800.965453386307
1285.0,1345.0,1190.0,36.99,0.6,0.07,3814.5589363574986
1285.0,1345.0,1190.0,36.99,0.6,0.07,3816.545519828797
1285.0,1345.0,1190.0,36.99,0.6,0.07,3762.255937457085
1285.0,1345.0,1190.0,36.99,0.6,0.07,3614.393680095673
1285.0,1345.0,1190.0,36.99,0.6,0.07,3621.8109494447713
1285.0,1345.0,1190.0,36.99,0.6,0.07,3749.228510856629
1285.0,1345.0,1190.0,36.99,0.6,0.07,3831.7060744762425
1285.0,1345.0,1190.0,36.99,0.6,0.07,3837.88777589798
1285.0,1345.0,1190.0,36.99,0.6,0.07,3838.2105398178105
1285.0,1345.0,1190.0,36.99,0.6,0.07,3809.1918683052068
1285.0,1345.0,1190.0,36.99,0.6,0.07,3806.4056921005254
1285.0,1345.0,1190.0,36.99,0.6,0.07,3752.1419227123265
1285.0,1345.0,1190.0,36.99,0.6,0.07,3701.572865247727
1285.0,1345.0,1190.0,36.99,0.6,0.07,3577.7156662940984
1285.0,1345.0,1190.0,36.99,0.6,0.07,3523.716734051705
1285.0,1345.0,1190.0,36.99,0.6,0.07,3549.7656929492955
1285.0,1345.0,1190.0,36.99,0.6,0.07,3569.3595767021184
1285.0,1345.0,1190.0,36.99,0.6,0.07,3548.5085803270345
1285.0,1345.0,1190.0,36.99,0.6,0.07,3552.6646739244466
1285.0,1345.0,1190.0,36.99,0.6,0.07,3564.254703521729
1285.0,1345.0,1190.0,36.99,0.6,0.07,3547.1478092670445
1285.0,1345.0,1190.0,36.99,0.6,0.07,3556.6656863689427
1285.0,1345.0,1190.0,36.99,0.6,0.07,3536.896193027497
1285.0,1345.0,1190.0,36.99,0.6,0.07,3472.5897502899174
1285.0,1345.0,1190.0,36.99,0.6,0.07,3537.540094852448
1285.0,1345.0,1190.0,36.99,0.6,0.07,3673.35012793541
1285.0,1345.0,1190.0,36.99,0.6,0.07,3747.9431462287907
1285.0,1345.0,1190.0,36.99,0.6,0.07,3955.6189644336705
1285.0,1345.0,1190.0,36.99,0.6,0.07,4090.5765593051915
1285.0,1345.0,1190.0,36.99,0.6,0.07,3971.359193325043
1285.0,1345.0,1190.0,36.99,0.6,0.07,3973.514475822449
1285.0,1345.0,1190.0,36.99,0.6,0.07,4019.872561693192
1285.0,1345.0,1190.0,36.99,0.6,0.07,4102.8440272808075
1285.0,1345.0,1190.0,36.99,0.6,0.07,4132.063511610031
1285.0,1345.0,1190.0,36.99,0.6,0.07,4124.48140501976
1285.0,1345.0,1190.0,36.99,0.6,0.07,4106.8631291389465
1285.0,1345.0,1190.0,36.99,0.6,0.07,4033.0131995677953
1285.0,1345.0,1190.0,36.99,0.6,0.07,4152.065931558609
1285.0,1345.0,1190.0,36.99,0.6,0.07,4185.17809510231
1285.0,1345.0,1190.0,36.99,0.6,0.07,4157.161455154419
1285.0,1345.0,1190.0,36.99,0.6,0.07,4139.446431398392
1285.0,1345.0,1190.0,36.99,0.6,0.07,4170.902092456818
1285.0,1345.0,1190.0,36.99,0.6,0.07,4272.461751699448
1285.0,1345.0,1190.0,36.99,0.6,0.07,4420.635594129562
1285.0,1345.0,1190.0,36.99,0.6,0.07,4437.498992681503
1285.0,1345.0,1190.0,36.99,0.6,0.07,4400.177483558655
1285.0,1345.0,1190.0,36.99,0.6,0.07,4321.625119447708
1285.0,1345.0,1190.0,36.99,0.6,0.07,4348.153142929077
1285.0,1345.0,1190.0,36.99,0.6,0.07,4448.445730209351
1285.0,1345.0,1190.0,36.99,0.6,0.07,4525.059071779251
1285.0,1345.0,1190.0,36.99,0.6,0.07,4556.9988787174225
1285.0,1345.0,1190.0,36.99,0.6,0.07,4561.186679601669
1285.0,1345.0,1190.0,36.99,0.6,0.07,4553.6765241622925
1285.0,1345.0,1190.0,36.99,0.6,0.07,4550.161080360413
1285.0,1345.0,1190.0,36.99,0.6,0.07,4542.938729524612
1285.0,1345.0,1190.0,36.99,0.6,0.07,4521.328181028366
1285.0,1345.0,1190.0,36.99,0.6,0.07,4554.313515424728
1285.0,1345.0,1190.0,36.99,0.6,0.07,4570.4903292655945
1285.0,1345.0,1190.0,36.99,0.6,0.07,4528.274922370911
1285.0,1345.0,1190.0,36.99,0.6,0.07,4618.422803878784
1285.0,1345.0,1190.0,36.99,0.6,0.07,4782.9970371723175
1285.0,1345.0,1190.0,36.99,0.6,0.07,4840.17950296402
1285.0,1345.0,1190.0,36.99,0.6,0.07,4924.2005610466
1285.0,1345.0,1190.0,36.99,0.6,0.07,4987.514321804047
1285.0,1345.0,1190.0,36.99,0.6,0.07,5039.333378076553
1285.0,1345.0,1190.0,36.99,0.6,0.07,5139.641819000244
1285.0,1345.0,1190.0,36.99,0.6,0.07,5223.868161439896
1285.0,1345.0,1190.0,36.99,0.6,0.07,5159.149930477142
1285.0,1345.0,1190.0,36.99,0.6,0.07,5341.476992368698
1285.0,1345.0,1190.0,36.99,0.6,0.07,5372.056231498718
1285.0,1345.0,1190.0,36.99,0.6,0.07,5327.1457052230835
1285.0,1345.0,1190.0,36.99,0.6,0.07,5320.984328985214
1285.0,1345.0,1190.0,36.99,0.6,0.07,5242.930338382721
1285.0,1345.0,1190.0,36.99,0.6,0.07,5050.408164262772
1285.0,1345.0,1190.0,36.99,0.6,0.07,5088.834956884384
1285.0,1345.0,1190.0,36.99,0.6,0.07,5212.619391679764
